timestamp,pos_x,pos_y,heading_deg,sog_kts,rot_deg_min,u_mps,v_mps,r_rad_s,control_rpm,control_rudder_deg
76.8999999999999,311.8370070692535,999.8788685511317,359.9757396538752,7.772361342295185,-0.007388447130833462,3.9984571960242477,-0.001122685009142543,-2.149212150709536e-06,50.0,0.0
76.9999999999999,312.236838859423,999.8785869014993,359.9757273997303,7.772092198317698,-0.007352486954370533,3.998318735841205,-0.0011235166916915625,-2.1387517593949314e-06,50.0,0.0
77.0999999999999,312.6366568068206,999.8783050891853,359.9757152054471,7.771823119274294,-0.007316569924797804,3.9981803090634145,-0.001124347007942488,-2.1283039190019265e-06,50.0,0.0
77.19999999999989,313.0364609147862,999.8780231147487,359.9757030709537,7.771554105147491,-0.007280696034619746,3.998041915681882,-0.0011251759598273697,-2.1178686273501603e-06,50.0,0.0
77.29999999999988,313.4362511866587,999.877740978747,359.9756909961783,7.771285155919812,-0.007244865275911712,3.9979035556876172,-0.0011260035492763523,-2.1074458821344467e-06,50.0,0.0
77.39999999999988,313.83602762577635,999.8774586817377,359.9756789810489,7.771016271573785,-0.007209077640323981,3.9977652290716317,-0.0011268297782176682,-2.09703568092595e-06,50.0,0.0
77.49999999999987,314.2357902354764,999.8771762242772,359.9756670254937,7.7707474520919435,-0.007173333119085809,3.9976269358249406,-0.001127654648577633,-2.086638021173364e-06,50.0,0.0
77.59999999999987,314.63553901909506,999.8768936069209,359.97565512944084,7.770478697456827,-0.0071376317030092985,3.9974886759385613,-0.00112847816228064,-2.0762529002040385e-06,50.0,0.0
77.69999999999986,315.0352739799679,999.8766108302241,359.9756432928185,7.77021000765098,-0.007101973382493365,3.997350449403515,-0.0011293003212491533,-2.0658803152251306e-06,50.0,0.0
77.79999999999986,315.4349951214294,999.8763278947408,359.97563151555494,7.7699413826569526,-0.007066358147527683,3.9972122562108243,-0.0011301211274037048,-2.0555202633247545e-06,50.0,0.0
77.89999999999985,315.83470244681314,999.8760448010247,359.9756197975783,7.769672822457301,-0.007030785987696515,3.997074096351516,-0.0011309405826628867,-2.0451727414730955e-06,50.0,0.0
77.99999999999984,316.23439595945194,999.8757615496284,359.9756081388168,7.769404327034588,-0.006995256892182534,3.9969359698166196,-0.0011317586889433482,-2.03483774652352e-06,50.0,0.0
78.09999999999984,316.6340756626777,999.8754781411038,359.9755965391987,7.769135896371378,-0.006959770849770656,3.9967978765971663,-0.0011325754481597888,-2.024515275213693e-06,50.0,0.0
78.19999999999983,317.03374155982124,999.8751945760024,359.9755849986523,7.768867530450245,-0.0069243278488518144,3.996659816684191,-0.0011333908622249546,-2.0142053241666736e-06,50.0,0.0
78.29999999999983,317.4333936542127,999.8749108548747,359.97557351710583,7.768599229253766,-0.006888927877426691,3.9965217900687313,-0.0011342049330496321,-2.0039078898920016e-06,50.0,0.0
78.39999999999982,317.8330319491812,999.8746269782703,359.97556209448766,7.7683309927645245,-0.006853570923109461,3.9963837967418274,-0.0011350176625426441,-1.993622968786787e-06,50.0,0.0
78.49999999999982,318.232656448055,999.8743429467384,359.975550730726,7.768062820965109,-0.0068182569731314886,3.9962458366945226,-0.0011358290526108448,-1.9833505571367836e-06,50.0,0.0
78.59999999999981,318.6322671541615,999.8740587608273,359.97553942574933,7.767794713838115,-0.006782986014344955,3.996107909917863,-0.001136639105159115,-1.9730906511174465e-06,50.0,0.0
78.6999999999998,319.03186407082717,999.8737744210847,359.97552817948593,7.767526671366141,-0.00674775803322647,3.9959700164028975,-0.0011374478220903567,-1.9628432467949803e-06,50.0,0.0
78.7999999999998,319.4314472013776,999.8734899280573,359.97551699186425,7.767258693531792,-0.006712573015880725,3.9958321561406778,-0.0011382552053054897,-1.9526083401274043e-06,50.0,0.0
78.89999999999979,319.83101654913736,999.8732052822913,359.97550586281267,7.766990780317681,-0.006677430948044024,3.995694329122258,-0.001139061256703446,-1.942385926965577e-06,50.0,0.0
78.99999999999979,320.23057211743037,999.8729204843322,359.9754947922596,7.766722931706424,-0.006642331815087838,3.995556535338696,-0.001139865978181166,-1.9321760030542323e-06,50.0,0.0
79.09999999999978,320.63011390957945,999.8726355347245,359.97548378013363,7.766455147680639,-0.006607275602022305,3.9954187747810517,-0.0011406693716335932,-1.9219785640329955e-06,50.0,0.0
79.19999999999978,321.02964192890664,999.8723504340122,359.97547282636316,7.766187428222957,-0.006572262293499753,3.995281047440388,-0.0011414714389536714,-1.91179360543741e-06,50.0,0.0
79.29999999999977,321.4291561787331,999.8720651827385,359.9754619308767,7.76591977331601,-0.006537291873818127,3.9951433533077703,-0.0011422721820323384,-1.9016211226999333e-06,50.0,0.0
79.39999999999976,321.82865666237893,999.871779781446,359.9754510936028,7.765652182942436,-0.006502364326924457,3.9950056923742676,-0.0011430716027585233,-1.891461111150946e-06,50.0,0.0
79.49999999999976,322.2281433831635,999.8714942306761,359.97544031447006,7.765384657084877,-0.006467479636418225,3.994868064630951,-0.0011438697030191416,-1.88131356601973e-06,50.0,0.0
79.59999999999975,322.6276163444053,999.8712085309702,359.9754295934071,7.765117195725984,-0.006432637785554739,3.994730470068895,-0.0011446664846990918,-1.871178482435452e-06,50.0,0.0
79.69999999999975,323.02707554942174,999.8709226828682,359.97541893034247,7.764849798848413,-0.006397838757248492,3.9945929086791767,-0.00114546194968125,-1.8610558554281401e-06,50.0,0.0
79.79999999999974,323.4265210015296,999.87063668691,359.9754083252049,7.76458246643482,-0.006363082534076486,3.9944553804528757,-0.0011462560998464677,-1.8509456799296493e-06,50.0,0.0
79.89999999999974,323.82595270404454,999.8703505436342,359.9753977779231,7.764315198467875,-0.006328369098281537,3.994317885381075,-0.0011470489370735664,-1.8408479507746242e-06,50.0,0.0
79.99999999999973,324.22537066028144,999.870064253579,359.97538728842574,7.7640479949302454,-0.006293698431775504,3.9941804234548592,-0.0011478404632393345,-1.8307626627014375e-06,50.0,0.0
80.09999999999972,324.6247748735543,999.8697778172817,359.9753768566415,7.763780855804609,-0.006259070516142583,3.994042994665317,-0.001148630680218523,-1.8206898103531495e-06,50.0,0.0
80.19999999999972,325.0241653471762,999.869491235279,359.9753664824993,7.763513781073649,-0.0062244853326425325,3.99390559900354,-0.001149419589883843,-1.8106293882784445e-06,50.0,0.0
80.29999999999971,325.42354208445937,999.8692045081068,359.97535616592785,7.763246770720052,-0.006189942862213794,3.9937682364606215,-0.00115020719410596,-1.80058139093254e-06,50.0,0.0
80.39999999999971,325.822905088715,999.8689176363002,359.97534590685603,7.76297982472651,-0.0061554430854767065,3.9936309070276583,-0.0011509934947534918,-1.7905458126781212e-06,50.0,0.0
80.4999999999997,326.22225436325357,999.8686306203938,359.97533570521273,7.762712943075721,-0.006120985982736659,3.99349361069575,-0.0011517784936930047,-1.7805226477862582e-06,50.0,0.0
80.5999999999997,326.6215899113846,999.8683434609212,359.9753255609268,7.762446125750391,-0.006086571533987173,3.9933563474559985,-0.0011525621927890098,-1.7705118904373017e-06,50.0,0.0
80.69999999999969,327.02091173641674,999.8680561584155,359.9753154739273,7.762179372733226,-0.006052199718913011,3.993219117299509,-0.0011533445939039596,-1.7605135347217895e-06,50.0,0.0
80.79999999999968,327.4202198416577,999.867768713409,359.9753054441431,7.761912684006943,-0.006017870516893213,3.9930819202173895,-0.0011541256988982444,-1.7505275746413266e-06,50.0,0.0
80.89999999999968,327.8195142304143,999.8674811264332,359.9752954715033,7.761646059554262,-0.005983583907004188,3.992944756200751,-0.0011549055096301895,-1.7405540041094878e-06,50.0,0.0
80.99999999999967,328.2187949059926,999.8671933980189,359.9752855559368,7.761379499357909,-0.005949339868022668,3.9928076252407063,-0.0011556840279560512,-1.7305928169526745e-06,50.0,0.0
81.09999999999967,328.61806187169753,999.8669055286964,359.97527569737287,7.761113003400612,-0.005915138378428762,3.992670527328372,-0.0011564612557300143,-1.7206440069110037e-06,50.0,0.0
81.19999999999966,329.0173151308334,999.866617518995,359.9752658957405,7.76084657166511,-0.005880979416408883,3.992533462454867,-0.0011572371948041886,-1.7107075676391607e-06,50.0,0.0
81.29999999999966,329.4165546867035,999.8663293694434,359.9752561509689,7.760580204134144,-0.005846862959858725,3.992396430611314,-0.0011580118470286057,-1.7007834927072633e-06,50.0,0.0
81.39999999999965,329.8157805426102,999.8660410805695,359.9752464629873,7.760313900790463,-0.005812788986386154,3.9922594317888365,-0.0011587852142512162,-1.690871775601704e-06,50.0,0.0
81.49999999999964,330.214992701855,999.8657526529006,359.9752368317248,7.760047661616817,-0.005778757473314132,3.9921224659785626,-0.0011595572983178867,-1.6809724097259992e-06,50.0,0.0
81.59999999999964,330.6141911677386,999.8654640869631,359.9752272571108,7.759781486595966,-0.005744768397683555,3.9919855331716225,-0.0011603281010723965,-1.6710853884016172e-06,50.0,0.0
81.69999999999963,331.0133759435608,999.865175383283,359.9752177390746,7.759515375710673,-0.005710821736256139,3.991848633359149,-0.001161097624356435,-1.6612107048688143e-06,50.0,0.0
81.79999999999963,331.41254703262035,999.8648865423852,359.97520827754545,7.759249328943707,-0.005676917465517221,3.991711766532278,-0.0011618658700095993,-1.6513483522874527e-06,50.0,0.0
81.89999999999962,331.81170443821526,999.8645975647942,359.97519887245284,7.758983346277842,-0.005643055561678549,3.9915749326821484,-0.00116263283986939,-1.6414983237378106e-06,50.0,0.0
81.99999999999962,332.21084816364265,999.8643084510335,359.9751895237262,7.758717427695859,-0.005609236000681123,3.9914381317999013,-0.0011633985357712101,-1.631660612221408e-06,50.0,0.0
82.09999999999961,332.6099782121987,999.8640192016261,359.9751802312949,7.758451573180542,-0.0055754587581979,3.9913013638766808,-0.0011641629595483616,-1.6218352106617956e-06,50.0,0.0
82.1999999999996,333.00909458717877,999.8637298170943,359.9751709950886,7.758185782714683,-0.005541723809636594,3.991164628903634,-0.0011649261130320426,-1.6120221119053673e-06,50.0,0.0
82.2999999999996,333.4081972918773,999.8634402979594,359.9751618150367,7.757920056281077,-0.005508031130142299,3.9910279268719107,-0.001165687998051345,-1.6022213087221234e-06,50.0,0.0
82.3999999999996,333.8072863295878,999.8631506447424,359.9751526910689,7.757654393862527,-0.005474380694600246,3.9908912577726636,-0.0011664486164332524,-1.5924327938064743e-06,50.0,0.0
82.49999999999959,334.20636170360297,999.8628608579633,359.9751436231147,7.757388795441838,-0.005440772477638502,3.990754621597048,-0.0011672079700026366,-1.5826565597780237e-06,50.0,0.0
82.59999999999958,334.6054234172146,999.8625709381413,359.975134611104,7.757123261001823,-0.005407206453630562,3.9906180183362214,-0.001167966060582256,-1.5728925991823234e-06,50.0,0.0
82.69999999999958,335.0044714737135,999.8622808857953,359.97512565496635,7.7568577905253004,-0.005373682596697974,3.9904814479813453,-0.0011687228899927534,-1.563140904491637e-06,50.0,0.0
82.79999999999957,335.40350587638983,999.861990701443,359.97511675463153,7.756592383995091,-0.00534020088071301,3.990344910523583,-0.0011694784600526525,-1.5534014681057161e-06,50.0,0.0
82.89999999999957,335.80252662853263,999.8617003856017,359.9751079100294,7.756327041394028,-0.005306761279301197,3.9902084059541014,-0.0011702327725783568,-1.5436742823525383e-06,50.0,0.0
82.99999999999956,336.2015337334302,999.8614099387879,359.9750991210898,7.756061762704941,-0.0052733637658438845,3.990071934264069,-0.001170985829384147,-1.5339593394890512e-06,50.0,0.0
83.09999999999955,336.6005271943699,999.8611193615175,359.97509038774257,7.755796547910672,-0.005240008313480808,3.9899354954446586,-0.0011717376322821782,-1.524256631701921e-06,50.0,0.0
83.19999999999955,336.99950701463814,999.8608286543055,359.9750817099178,7.755531396994065,-0.005206694895112645,3.9897990894870445,-0.0011724881830824786,-1.5145661511082745e-06,50.0,0.0
83.29999999999954,337.3984731975206,999.8605378176662,359.9750730875453,7.755266309937969,-0.005173423483403475,3.9896627163824046,-0.0011732374835929475,-1.5048878897564142e-06,50.0,0.0
83.39999999999954,337.79742574630205,999.8602468521134,359.9750645205552,7.755001286725241,-0.005140194050783257,3.9895263761219186,-0.001173985535619352,-1.4952218396265405e-06,50.0,0.0
83.49999999999953,338.19636466426624,999.8599557581599,359.9750560088776,7.75473632733874,-0.005107006569450318,3.98939006869677,-0.0011747323409653262,-1.4855679926314753e-06,50.0,0.0
83.59999999999953,338.59528995469617,999.8596645363182,359.97504755244256,7.754471431761335,-0.0050738610113738,3.9892537940981443,-0.001175477901432369,-1.4759263406173712e-06,50.0,0.0
83.69999999999952,338.99420162087387,999.8593731870995,359.97503915118034,7.754206599975897,-0.005040757348296063,3.989117552317231,-0.0011762222188198414,-1.4662968753644146e-06,50.0,0.0
83.79999999999951,339.39309966608056,999.859081711015,359.97503080502105,7.753941831965303,-0.0050076955517351016,3.9889813433452206,-0.0011769652949249658,-1.4566795885875262e-06,50.0,0.0
83.89999999999951,339.79198409359657,999.8587901085747,359.97502251389506,7.753677127712434,-0.004974675592986954,3.9888451671733076,-0.0011777071315428238,-1.4470744719370615e-06,50.0,0.0
83.9999999999995,340.1908549067013,999.8584983802879,359.97501427773267,7.753412487200179,-0.004941697443128021,3.9887090237926888,-0.0011784477304663534,-1.4374815169994867e-06,50.0,0.0
84.0999999999995,340.5897121086734,999.8582065266634,359.9750060964642,7.753147910411432,-0.004908761073017421,3.988572913194564,-0.0011791870934863488,-1.427900715298063e-06,50.0,0.0
84.19999999999949,340.9885557027904,999.8579145482092,359.9749979700201,7.752883397329089,-0.00487586645329934,3.9884368353701354,-0.0011799252223914573,-1.4183320582935302e-06,50.0,0.0
84.29999999999949,341.3873856923292,999.8576224454328,359.9749898983309,7.752618947936057,-0.004843013554405343,3.9883007903106087,-0.001180662118968179,-1.4087755373847796e-06,50.0,0.0
84.39999999999948,341.78620208056566,999.8573302188405,359.974981881327,7.752354562215244,-0.00481020234655667,3.9881647780071914,-0.0011813977850008638,-1.3992311439095201e-06,50.0,0.0
84.49999999999947,342.1850048707749,999.8570378689385,359.974973918939,7.752090240149565,-0.004777432799766486,3.9880287984510945,-0.0011821322222717113,-1.3896988691449363e-06,50.0,0.0
84.59999999999947,342.583794066231,999.8567453962319,359.97496601109754,7.7518259817219395,-0.004744704883842119,3.9878928516335317,-0.0011828654325607675,-1.3801787043083346e-06,50.0,0.0
84.69999999999946,342.9825696702073,999.8564528012251,359.9749581577332,7.7515617869152935,-0.004712018568387346,3.987756937545719,-0.0011835974176459252,-1.370670640557813e-06,50.0,0.0
84.79999999999946,343.38133168597614,999.8561600844221,359.9749503587769,7.751297655712557,-0.004679373822804554,3.987621056178875,-0.001184328179302921,-1.3611746689928863e-06,50.0,0.0
84.89999999999945,343.7800801168091,999.8558672463258,359.97494261415915,7.75103358809667,-0.004646770616296998,3.9874852075242226,-0.0011850577193053345,-1.351690780655145e-06,50.0,0.0
84.99999999999945,344.1788149659767,999.8555742874388,359.97493492381096,7.750769584050568,-0.004614208917870925,3.987349391572985,-0.001185786039424587,-1.3422189665288709e-06,50.0,0.0
